Wavelength,energyDensity
1 109.1903,
1 109.2724,
1 109.2732,
,
1 109.2741,
1 109.4204,
1 109.4214,
1 109.4220,
1 128.6317,590
,
1 128.6406,
1 128.6914,640
1 128.7029,490
1 128.7118,
1 128.7318,490
,
1 129.5103,490
1 129.7682,540
1 130.2378,590
,265
1 137.3917,
,
1 137.4007,
1 178.8475,
1 178.8481,
1 178.8493,
1 178.9416,
,
1 178.9429,
1 178.9444,
1 179.1092,
1 179.1107,
1 179.1118,
,
1 185.49,
1 185.49,
1 185.50,
1 185.50,
1 185.50,
,
1 185.54,
1 186.8086,
1 186.8086,
1 186.8086,
1 186.8185,
,
1 186.8185,
1 186.8311,
1 194.6694,
1 194.6817,
1 194.6993,
,
1 194.7190,
1 194.7365,
1 194.7513,
1 194.7600,
1 194.7747,
,
1 194.7817,
1 196.8374,
1 196.9338,
1 197.1052,
1 226.6758,
,
1 226.7511,
1 226.8048,
1 246.3840,
1 246.3840,
1 246.3840,
,
1 246.3974,490*
1 246.3974,490*
1 246.3974,490*
1 246.4165,
1 246.4165,
,
1 246.4165,
1 246.4325,
1 246.4325,
1 246.4401,
1 256.9886,
,
1 256.9996,450*
1 256.9996,450*
1 257.0138,
1 257.0138,
1 257.0138,
,
1 265.1869,
1 265.1869,
1 265.1998,
1 265.1998,
1 265.1998,
,
1 265.2415,
1 279.0350,
1 279.0483,
1 279.0908,
,120
,
1 305.3773,
1 305.3784,
1 305.3807,
1 305.4932,
1 305.4954,
,
1 305.4981,
1 305.6993,
1 305.7020,
1 305.7039,
1 307.6521,
,
1 307.6904,160
1 307.7007,
1 316.3889,700
1 316.4858,750
1 316.5131,640
,
1 341.4853,
1 341.6064,
1 341.8218,
1 411.0797,
1 411.0797,
,
1 411.0958,
1 411.0958,
1 411.0958,
1 411.1476,
1 439.0839,
,
1 439.1007,
1 439.1546,
1 547.6270,
1 547.6270,
1 547.6270,
,
1 550.5360,
1 550.5360,
1 552.4371,
1 566.5098,
1 566.5648,
,
1 566.5796,
1 566.5820,
1 566.5967,
1 566.6188,
1 588.7642,
,
1 588.7675,
1 588.7743,
1 588.9374,
1 588.9443,
1 588.9523,
,
1 589.2463,
1 589.2544,
1 589.2602,
1 610.9087,
1 610.9310,
,
1 610.9629,
1 611.0608,
1 611.0928,
1 611.1195,
1 611.1854,
,
1 611.2122,
1 611.2249,
,160
1 686.9216,
1 687.1132,
,
1 687.4538,
1 745.3212,
1 745.3212,
1 745.3459,
1 745.3459,
,
1 745.3459,
1 745.4251,
1 769.4928,
1 769.4928,
1 769.4928,
,
1 773.2966,
1 773.2966,
1 775.7837,
,120
1 802.083,
,
1 802.083,
1 802.083,
1 802.111,590*
1 802.111,590*
1 802.111,590*
,
1 802.151,
1 802.151,
1 802.151,
1 802.184,
1 802.184,
,
1 802.200,
,120
,120
,120
1 822.901,
,
1 822.928,140
1 823.014,
1 824.331,
1 824.354,540*
1 824.354,540*
,
1 824.384,
1 824.384,
1 824.384,
1 945.810,
1 945.811,
,
1 945.811,
1 945.813,
1 945.813,
1 945.813,
1 945.817,
,
1 945.817,
1 945.817,
1 945.818,
1 945.818,
1 945.818,
