Wavelength,energyDensity
211.2251,
,
211.528,
212.3182,8
213.1813,12
213.2017,10
214.822,1*
,
214.8232,1*
214.9669,
217.051,
217.162,
217.2206,
,
217.2256,
217.244,
217.2546,
217.355,
218.2569,4
,
218.6338,
219.0469,4
219.5482,3
219.588,
221.5713,1
,
221.8651,
221.8674,1
222.247,
222.307,
222.353,
,
222.412,
222.974,
223.177,
223.283,
224.9708,1
,
225.2738,7
225.963,3
226.2686,1
228.3444,8
228.4833,9
,
229.0846,14
229.3297,15
229.343,
229.5597,
229.7957,
,
230.0333,17
230.0424,
230.2806,14
230.7645,
230.7648,
,
230.7729,5*
230.7733,5*
231.3051,8*
231.3091,8*
231.6124,9
,
231.6779,9*
231.6781,9*
231.9682,11
232.2141,9
232.4803,3
,
232.5921,6
232.7947,7
233.9311,6
235.579,
235.772,
,
235.839,
236.5005,
236.514,9
237.5719,11
239.8905,2
,
239.9197,7
240.235,3
240.6376,14
240.6437,
240.7357,
,
240.7477,13
241.1597,7*
241.1644,7*
241.5126,6
241.8459,14
,
241.858,
242.5567,15
242.5628,
243.1641,5
243.3542,20
,
243.5181,2
243.5994,
243.6056,14
243.8067,2
244.1626,8
,
244.4251,16
244.5529,22
247.0219,
247.0219,
247.0341,
,
247.0341,
251.7964,12
252.3061,
252.3214,7
252.6872,11
,
252.7026,
253.0112,
253.0279,13
257.1457,11
257.5277,13
,
257.5415,
271.536,8
271.8805,6
273.3294,17
274.7367,15
,
278.3029,6
278.9933,2
279.614,
279.6655,3*
279.6655,3*
,
280.3109,1
280.8728,8
282.2719,
283.6208,7
288.4221,9
,
288.4756,4
288.5799,
288.7964,5w
288.8203,
289.1254,6
,
289.1685,7
289.2302,3*
289.2307,3*
289.7505,8
289.9832,
,
290.0265,7
290.0891,
290.4238,8
290.5004,8
290.612,
,
290.6553,13
290.8637,6
290.8798,3
291.1121,8
291.1594,
,
291.177,11
291.5244,2
291.5576,8
291.5702,
292.047,
,
296.4182,3
296.6088,4
297.2745,4
297.9061,5
298.0451,3
,
299.0668,4
299.1221,
299.581,7w*
299.581,7w*
299.5916,7w*
,
299.6937,
299.7188,
300.1693,5
300.2978,8
300.595,10
,
300.5979,10
300.6122,
300.6544,5
300.701,14bl*
300.7029,14bl*
,
300.7112,
300.7118,
300.7678,7*
300.7683,7*
300.8307,9
,
300.8422,
300.9579,7
300.9722,
301.0138,
301.1527,9*
,
301.1533,9*
301.2756,
301.2806,8*
301.2857,8*
301.3361,11
,
301.3497,
301.4145,7
301.4459,8
301.5928,
301.5978,7
,
302.0163,5
302.5232,7
302.5704,9
302.638,1w*
302.6385,1w*
,
302.7559,1*
302.7587,1*
302.7971,7
302.8545,
302.8735,9
,
303.1919,3*
303.1948,3*
303.2063,
303.2077,12
303.2093,
,
303.2448,9
303.2494,
303.6407,7
303.945,8*
303.9458,8*
,
303.9596,
304.0036,
304.3969,2
304.6694,4w
304.7119,13bl
,
305.9284,10bl
308.1389,9
309.0386,10
309.1533,8
309.7471,9
,
310.2599,3
310.4056,8
310.7846,3w
311.3617,11
312.2524,17
,
312.391,13
312.934,17
313.4213,17
313.4726,22
313.8337,19
,
313.9678,17
314.7842,3
315.5914,1w
316.7577,9
316.8628,13
,
316.9887,7*
316.9893,7*
318.7371,4w
319.2365,3
319.3075,3
,
319.7659,1w
320.0683,3
321.5866,10
321.662,11
321.7925,12
,
327.0856,16
327.0905,
327.3434,17
327.5612,1
327.7561,17
,
328.1994,
328.5016,3w
328.7471,21
328.9982,17
329.4987,14
,
330.1411,10
330.5003,17
330.6451,17
335.131,
336.0083,3
,
336.0281,2
336.0616,
336.6723,1w
337.0293,6
337.1674,9
,
337.4066,1
337.4892,1
