Wavelength,Flux,BestFit,SkyFlux
3800.144,15.966,18.384,0.000
3801.019,15.963,24.445,0.000
3801.894,15.959,28.673,0.000
3802.769,15.956,28.614,0.000
3803.645,15.953,30.699,0.000
3804.521,15.949,30.310,0.000
3805.397,15.946,30.555,0.000
3806.274,15.942,30.418,0.000
3807.150,15.939,29.728,0.000
3808.027,15.935,28.970,0.000
3808.904,15.932,28.633,0.000
3809.781,15.929,29.583,0.000
3810.658,15.925,30.981,0.000
3811.536,15.922,31.348,0.000
3812.414,15.918,31.314,0.000
3813.291,15.915,30.657,0.000
3814.170,15.912,28.542,0.000
3815.048,15.908,27.851,0.000
3815.926,15.905,27.249,0.000
3816.805,15.901,26.113,0.000
3817.684,15.898,26.426,0.000
3818.563,15.895,28.278,0.000
3819.443,15.891,28.972,0.000
3820.322,15.888,28.025,0.000
3821.202,15.885,25.892,0.000
3822.082,15.881,24.396,0.000
3822.962,15.878,25.033,0.000
3823.843,15.875,27.032,0.000
3824.723,15.871,27.660,0.000
3825.604,15.868,25.889,0.000
3826.485,15.865,24.179,0.000
3827.366,15.861,23.303,0.000
3828.247,15.858,23.373,0.000
3829.129,15.855,24.240,7.798
3830.011,15.851,25.419,8.891
3830.893,15.962,26.143,9.654
3831.775,14.789,26.420,9.909
3832.657,16.606,26.167,9.370
3833.540,13.464,25.215,8.560
3834.423,10.112,24.246,8.348
3835.306,11.944,24.416,8.149
3836.189,13.090,25.227,7.587
3837.072,16.069,26.388,6.618
3837.956,21.736,27.093,5.722
3838.840,20.847,26.449,5.127
3839.724,13.288,24.889,5.045
3840.608,11.046,23.962,5.470
3841.493,10.823,23.852,6.018
3842.377,12.174,24.639,6.195
3843.262,20.513,26.816,6.284
3844.147,23.100,28.902,6.033
3845.032,26.401,30.298,6.106
3845.918,27.472,31.488,6.355
3846.803,25.311,30.535,6.455
3847.689,27.467,30.765,6.043
3848.575,30.636,30.958,5.541
3849.462,30.134,30.165,5.109
3850.348,33.469,28.825,5.278
3851.235,25.682,27.938,5.787
3852.122,24.361,27.688,6.139
3853.009,24.580,28.847,6.289
3853.896,28.925,29.572,6.276
3854.784,29.048,29.368,6.154
3855.671,28.087,28.502,5.761
3856.559,25.994,27.277,5.392
3857.447,22.515,26.553,4.996
3858.336,19.077,26.173,4.545
3859.224,15.938,25.900,4.110
3860.113,20.807,25.003,3.988
3861.002,15.264,23.768,4.185
3861.891,12.440,23.762,4.605
3862.780,13.627,25.515,4.891
3863.670,23.445,28.100,5.074
3864.560,28.246,30.114,4.929
3865.449,30.235,30.340,4.569
3866.340,29.042,29.246,4.233
3867.230,23.940,28.717,4.147
3868.121,25.838,28.944,4.356
3869.011,30.236,29.063,4.639
3869.902,28.150,28.921,4.646
3870.793,27.123,28.494,4.281
3871.685,24.238,27.542,3.762
3872.576,25.354,26.130,3.406
3873.468,22.159,25.651,3.598
3874.360,18.050,25.792,4.228
3875.252,22.465,28.081,4.925
3876.145,29.161,30.818,5.128
3877.037,28.949,32.005,4.653
3877.930,30.878,31.364,3.856
3878.823,29.146,28.675,3.354
3879.717,23.192,26.329,3.631
3880.610,19.781,26.528,4.176
3881.504,22.991,28.103,4.469
3882.398,27.347,28.706,4.187
3883.292,26.791,27.688,3.636
3884.186,24.319,27.728,3.324
3885.080,25.819,30.042,3.475
3885.975,29.329,31.074,3.695
3886.870,27.890,29.190,3.826
3887.765,20.667,26.482,3.478
3888.660,16.635,26.298,2.932
3889.556,19.417,27.309,2.574
3890.451,23.690,28.966,2.802
3891.347,26.270,31.443,3.465
3892.243,29.003,33.749,4.162
3893.140,32.287,35.322,4.605
3894.036,34.830,36.386,4.693
3894.933,34.769,35.688,4.598
3895.830,30.985,33.618,4.653
3896.727,27.076,32.780,4.820
3897.625,29.018,33.228,5.012
3898.522,32.113,33.953,4.967
3899.420,32.887,34.121,4.794
3900.318,30.043,32.288,4.589
3901.216,27.160,30.732,4.727
3902.114,28.197,31.680,5.190
3903.013,27.642,33.032,5.613
3903.912,27.084,32.626,5.685
3904.811,28.904,31.343,5.797
3905.710,24.342,30.934,6.298
3906.609,24.212,30.173,7.330
3907.509,23.306,29.625,8.332
3908.409,24.973,30.759,8.593
3909.309,30.963,33.505,8.581
3910.209,34.225,35.668,8.709
3911.110,35.632,35.990,8.563
3912.010,35.788,36.424,8.300
3912.911,37.357,36.711,8.086
3913.812,39.371,36.872,7.964
3914.714,36.584,37.270,7.756
3915.615,37.632,37.545,7.191
3916.517,38.302,36.176,6.638
3917.419,36.090,35.773,6.469
3918.321,34.212,35.193,6.328
3919.223,35.012,34.421,5.977
3920.126,33.813,33.395,5.565
3921.029,29.353,31.270,5.297
3921.931,23.473,29.325,5.233
3922.835,19.754,28.430,5.328
3923.738,21.105,28.599,5.057
3924.642,25.790,29.469,4.706
3925.545,29.608,30.484,4.631
3926.449,22.253,30.960,4.659
3927.354,25.654,30.401,4.268
3928.258,24.737,28.929,3.935
3929.163,19.410,26.769,3.498
3930.067,16.745,24.925,3.440
3930.972,14.092,23.965,3.661
3931.878,13.100,23.310,3.891
3932.783,13.965,22.396,3.625
3933.689,11.157,21.682,3.551
3934.595,13.584,20.985,3.547
3935.501,11.982,20.660,3.472
