"Ritz Wavelength Vac (nm)","Rel. Int.","Aki (s-1)"
1 093.799454,,9.55E+05
1 093.799661,,1.69E+05
,,
1 093.801075,,9.55E+05
1 093.810612,,2.00E+06
1 093.810633,,1.88E+06
1 093.811150,,7.82E+03
1 093.811173,,3.13E+05
,,
1 093.812635,,3.38E+05
1 093.812771,,7.83E+04
1 093.814666,,2.15E+06
1 093.814936,,1.43E+05
1 093.815474,,7.04E+04
,,
1 093.8086,14000,7.78E+05
1 281.792576,,2.83E+06
1 281.794286,,1.64E+06
1 281.796036,,3.02E+05
1 281.798135,,1.64E+06
,,
1 281.8070,32000,2.20E+06
1 281.809075,,4.24E+06
1 281.809111,,3.39E+06
1 281.810348,,1.50E+04
1 281.810393,,5.65E+05
,,
1 281.813853,,6.03E+05
1 281.814197,,1.50E+05
1 281.814378,,4.54E+06
1 281.815013,,3.03E+05
1 281.816286,,1.35E+05
,,
1 519.1861,,1.18E+03
1 526.0555,,1.53E+03
1 534.1807,,2.01E+03
1 543.8938,,2.69E+03
1 555.6466,800,3.67E+03
,,
1 570.0679,-800,5.11E+03
1 588.0559,-1000,7.29E+03
1 610.9330,-1200,1.07E+04
1 640.7210,1400,1.62E+04
1 680.6538,1600,2.56E+04
,,
1 736.2127,3100,4.23E+04
1 817.4141,2800,7.46E+04
1 875.068381,,5.86E+06
1 875.072050,,3.07E+06
1 875.082881,,6.12E+05
,,
1 875.088135,,3.07E+06
1 875.101086,,1.29E+07
1 875.101149,,7.04E+06
1 875.106422,,3.48E+04
1 875.106508,,1.17E+06
,,
1 875.111120,,1.38E+07
1 875.113794,,9.19E+05
1 875.119130,,3.13E+05
1 875.121008,,1.22E+06
1 875.122507,,3.48E+05
,,
1 875.0976,-51000,8.99E+06
1 944.5582,-4500,1.42E+05
,,
,,
2 166.121,8000,3.04E+05
2 431.362,,9.75E+02
2 449.000,,1.27E+03
2 469.988,,1.67E+03
2 495.2545,,2.25E+03
,,
2 526.091,-400,3.08E+03
2 564.327,-480,4.31E+03
2 612.648,-580,6.18E+03
2 625.8342639,,7.18E+05
2 625.8373091,,4.46E+05
,,
2 625.8426841,,1.19E+05
2 625.8466529,,4.46E+05
2 625.862640,,1.20E+06
2 625.8626846,,8.62E+05
2 625.865737,,9.42E+03
,,
2 625.8657986,,1.44E+05
2 625.868,-9000,7.71E+05
2 625.8715885,,1.29E+06
2 625.87159,,1.32E+06
2 625.8731458,,8.58E+04
,,
2 625.87315,,1.02E+03
2 625.8742190,,2.39E+05
2 625.875081,,9.42E+04
2 625.875900,,1.37E+06
2 625.8762431,,8.48E+04
,,
2 625.87626,,2.15E+04
2 625.876834,,4.90E+04
2 625.878387,,2.04E+04
2 675.131,-700,9.15E+03
2 758.268,-900,1.40E+04
,,
2 872.996,-1100,2.25E+04
3 039.202,-1400,3.80E+04
3 296.991,-1800,6.91E+04
3 606.9708,,8.42E+02
3 645.926,,1.10E+03
,,
3 692.636,,1.46E+03
3 740.555,2500,1.39E+05
3 749.396,,1.97E+03
3 819.454,-140,2.71E+03
3 907.552,-170,3.82E+03
,,
4 020.871,-200,5.53E+03
4 052.18664,,1.24E+06
4 052.19376,,7.37E+05
4 052.22121,,2.15E+05
4 052.23222,,7.37E+05
,,
4 052.248747,,2.41E+06
4 052.24892,,1.49E+06
4 052.26147,,1.88E+04
4 052.26174,,2.48E+05
4 052.26738,,4.10E+06
,,
4 052.26742,,2.58E+06
4 052.2737678,,1.72E+05
4 052.27384,,2.40E+03
4 052.276012,,4.25E+06
4 052.269,11000,2.70E+06
,,
4 052.279858,,1.52E+05
4 052.28632,,4.81E+04
4 052.28649,,1.70E+05
4 052.28665,,5.05E+04
4 052.29631,,4.30E+05
,,
4 052.29992,,1.88E+05
4 170.797,-240,8.27E+03
4 376.458,-300,1.29E+04
4 653.774,4200,3.25E+05
4 672.512,-370,2.11E+04
,,
5 091.321,,7.52E+02
5 128.662,-450,3.69E+04
5 169.282,,9.85E+02
5 263.685,,1.31E+03
5 379.776,,1.78E+03
,,
5 525.190,-150,2.47E+03
5 711.464,-180,3.52E+03
5 908.220,-540,7.07E+04
5 956.845,-210,5.16E+03
6 291.918,-250,7.85E+03
,,
6 771.993,-300,1.25E+04
6 946.756,,6.89E+02
7 092.708,,9.07E+02
7 271.651,,1.22E+03
7 459.71725,,3.75E+05
,,
7 459.72976,,2.43E+05
7 459.78520,,8.94E+04
7 459.80517,,2.43E+05
7 459.82191,,6.75E+05
7 459.82244,,4.49E+05
,,
7 459.84691,,9.59E+03
7 459.84757,,7.49E+04
7 459.85277,,7.23E+05
7 459.85300914,,1.07E+06
7 459.86534,,4.82E+04
,,
7 459.8655424,,1.86E+03
7 459.8670,,1.11E+06
7 459.86716042,,1.61E+06
7 459.8745,,3.95E+04
7 459.87466311,,3.16E+02
,,
7 459.87516407,,1.64E+06
7 459.88019175,,3.66E+04
7 459.8871,,3.72E+04
7 459.88723179,,1.14E+04
7 459.88769446,,1.11E+04
,,
7 459.89034,,8.63E+04
7 459.890674,,3.91E+04
7 459.84,-3000,1.03E+06
7 459.91553,,1.79E+05
7 459.92233,,9.59E+04
,,
7 495.087,,1.66E+03
7 502.502,620,1.56E+05
7 508.107,-360,2.12E+04
7 780.366,-130,2.33E+03
8 154.887,120,3.36E+03
,,
8 664.498,180,5.01E+03
8 760.068,420,3.90E+04
9 260.526,,6.45E+02
9 392.013,60,7.80E+03
9 521.722,,8.56E+02
,,
9 847.025,,1.16E+03
