Wavelength,Flux,BestFit,SkyFlux
3825.604,3.995,7.449,5.704
3826.484,3.177,6.891,5.842
3827.366,4.575,6.672,6.134
3828.247,6.572,6.793,6.762
3829.130,4.834,7.163,7.652
3830.011,8.669,7.558,8.731
3830.894,7.175,7.782,9.385
3831.775,2.835,7.852,9.460
3832.657,2.135,7.674,8.927
3833.540,3.414,7.268,8.575
3834.422,4.651,7.061,8.134
3835.307,4.826,7.188,7.756
3836.189,6.569,7.515,7.125
3837.073,9.187,7.946,6.373
3837.956,6.014,8.092,5.248
3838.839,8.071,7.679,5.014
3839.724,4.659,7.168,5.242
3840.608,1.718,6.903,5.380
3841.493,2.551,6.945,5.868
3842.377,5.591,7.351,6.276
3843.263,8.392,8.246,6.277
3844.147,6.807,8.860,5.746
3845.032,6.742,9.408,5.537
3845.918,10.679,9.619,6.233
3846.803,9.214,9.307,6.391
3847.690,13.020,9.468,6.076
3848.575,8.967,9.417,5.524
3849.463,9.735,9.047,5.069
3850.348,9.630,8.593,5.304
3851.234,10.650,8.294,5.657
3852.122,6.523,8.356,5.849
3853.008,6.425,8.824,6.065
3853.897,10.750,8.962,6.015
3854.783,7.503,8.815,5.637
3855.672,7.262,8.442,5.250
3856.559,7.933,8.037,5.030
3857.446,4.545,7.811,4.768
3858.336,5.700,7.704,4.253
3859.223,4.395,7.579,3.911
3860.113,5.313,7.151,3.745
3861.001,4.308,6.788,3.960
3861.892,4.936,6.955,4.416
3862.780,6.928,7.737,4.892
3863.669,6.804,8.647,5.096
3864.560,8.427,9.216,4.815
3865.449,6.412,9.082,4.380
3866.340,8.505,8.762,4.032
3867.230,10.179,8.667,4.070
3868.121,5.576,8.769,4.421
3869.011,6.668,8.811,4.565
3869.901,9.085,8.707,4.466
3870.794,9.604,8.505,4.015
3871.684,8.791,8.096,3.458
3872.577,7.439,7.667,3.285
3873.468,7.001,7.526,3.568
3874.361,5.333,7.732,4.184
3875.252,7.244,8.763,4.803
3876.144,8.861,9.601,4.925
3877.038,10.048,9.852,4.572
3877.930,7.751,9.376,3.816
3878.824,8.856,8.354,3.364
3879.716,7.439,7.696,3.553
3880.611,3.918,8.035,3.998
3881.504,6.420,8.590,4.350
3882.396,10.307,8.568,3.981
3883.292,7.557,8.230,3.530
3884.185,7.479,8.454,3.317
3885.081,8.898,9.337,3.425
3885.975,8.624,9.414,3.658
3886.871,3.302,8.472,3.780
3887.765,4.005,7.779,3.410
3888.659,4.267,7.854,2.932
3889.556,4.837,8.313,2.698
3890.451,7.978,8.978,2.882
3891.348,6.263,9.917,3.472
3892.243,9.398,10.642,4.072
3893.141,8.184,11.217,4.493
3894.036,8.968,11.454,4.570
3894.934,9.865,11.015,4.537
3895.830,9.930,10.256,4.658
3896.726,7.837,10.122,4.818
3897.625,6.604,10.324,4.937
3898.522,7.417,10.606,4.894
3899.421,7.722,10.494,4.738
3900.318,6.883,9.785,4.651
3901.217,8.011,9.384,4.777
3902.115,9.481,9.951,5.118
3903.012,6.349,10.250,5.457
3903.912,10.123,9.947,5.597
3904.810,6.457,9.545,5.763
3905.711,8.905,9.433,6.387
3906.609,7.938,9.159,7.425
3907.510,4.673,9.015,8.204
3908.409,7.800,9.669,8.552
3909.308,12.158,10.664,8.610
3910.210,10.338,11.264,8.504
3911.109,9.765,11.319,8.451
3912.011,12.428,11.504,8.217
3912.911,12.707,11.594,8.132
3913.813,11.395,11.643,8.025
3914.714,11.030,11.824,7.635
3915.614,11.482,11.776,7.131
3916.517,10.199,11.290,6.724
3917.418,9.209,11.204,6.486
3918.322,10.787,10.901,6.361
3919.223,11.048,10.677,6.021
3920.127,8.408,10.169,5.492
3921.029,8.900,9.375,5.231
3921.931,6.436,8.759,5.174
3922.835,6.681,8.528,5.150
3923.737,8.625,8.687,5.007
3924.642,8.225,9.025,4.841
3925.545,9.069,9.365,4.651
3926.450,8.699,9.471,4.599
3927.354,7.179,9.162,4.416
3928.257,7.944,8.552,3.988
3929.163,6.446,7.727,3.512
3930.067,5.004,7.139,3.390
3930.973,2.328,6.848,3.601
3931.877,2.979,6.606,3.775
3932.784,4.293,6.253,3.815
3933.689,1.440,6.019,3.707
3934.594,1.618,5.781,3.569
3935.501,3.244,5.749,3.437
3936.406,2.569,5.929,3.315
3937.314,2.570,6.293,3.284
3938.220,4.799,6.792,3.601
3939.128,5.156,7.285,4.587
3940.034,4.468,7.946,5.792
3940.941,4.653,8.499,6.463
3941.849,7.670,8.792,6.338
3942.756,7.505,8.832,6.064
3943.665,8.534,8.687,6.236
3944.573,6.244,8.392,6.704
3945.482,4.624,7.944,6.857
3946.390,6.743,8.577,6.646
3947.298,6.905,9.691,6.439
3948.208,8.274,10.303,6.425
3949.116,8.021,10.205,6.074
3950.027,7.931,10.206,5.600
3950.936,11.684,10.845,5.821
3951.847,8.897,11.467,6.126
3952.756,9.330,11.603,6.103
3953.665,9.697,11.239,5.863
3954.577,9.169,10.917,5.761
3955.487,10.427,11.400,5.780
3956.399,10.270,11.667,5.693
3957.309,7.438,11.144,5.404
3958.221,9.031,10.487,5.225
3959.132,9.118,10.366,5.227
3960.045,7.375,10.706,5.337
3960.956,7.553,10.601,5.369
3961.867,7.700,9.470,5.244
3962.781,4.926,8.172,5.044
3963.692,3.429,7.619,4.663
3964.606,3.680,7.798,4.128
3965.518,4.043,8.016,3.598
3966.433,5.169,7.851,3.178
3967.345,3.651,7.242,2.994
3968.258,2.506,6.543,2.926
3969.173,0.917,6.010,2.864
3970.086,2.893,5.790,2.760
3971.002,3.982,5.957,2.844
3971.915,2.924,6.454,3.049
3972.831,4.102,7.071,3.576
3973.745,5.832,7.655,4.231
3974.659,5.419,8.252,4.740
3975.576,6.339,8.950,4.891
3976.490,10.333,9.682,4.946
3977.407,11.815,10.181,5.448
3978.322,9.677,10.680,5.750
3979.240,11.916,11.203,5.957
3980.155,12.095,11.684,5.810
3981.071,12.718,12.302,5.636
3981.989,12.920,12.945,5.652
3982.905,11.336,12.670,5.996
3983.823,10.291,12.323,6.498
3984.740,11.754,12.158,6.730
3985.659,13.587,12.256,6.379
3986.576,13.524,12.485,5.689
3987.493,13.697,12.619,5.448
3988.412,14.483,12.772,5.939
3989.330,13.344,13.553,6.594
3990.250,13.513,13.711,6.739
3991.168,13.385,13.291,6.350
3992.088,11.969,13.064,5.947
3993.006,12.197,13.468,6.087
3993.925,14.160,13.922,6.517
3994.846,14.055,13.960,6.612
3995.765,12.288,13.524,6.359
3996.686,12.880,13.200,6.035
3997.606,12.964,12.974,5.811
3998.528,11.279,12.464,5.841
3999.447,11.285,12.233,6.387
4000.368,11.592,12.939,6.866
4001.290,14.558,13.807,6.697
4002.211,15.824,14.086,6.138
4003.133,14.902,14.210,5.721
4004.054,14.153,14.742,5.823
4004.978,13.909,14.387,6.125
4005.899,13.375,13.002,5.974
4006.821,10.467,11.603,5.545
4007.745,11.285,11.569,5.965
4008.666,13.720,12.736,7.194
4009.591,14.702,13.761,7.913
4010.513,14.209,14.232,7.579
4011.438,16.186,14.283,7.233
4012.361,15.374,14.340,7.558
4013.284,13.445,14.609,7.958
4014.209,14.827,14.750,7.888
4015.133,16.570,14.519,7.615
4016.059,14.913,14.706,7.257
4016.983,11.449,15.051,7.218
4017.909,14.541,14.527,7.272
4018.833,12.763,13.995,7.421
4019.758,12.474,14.172,7.959
4020.685,14.248,14.772,8.354
4021.610,14.529,15.161,8.235
4022.537,14.093,14.639,7.990
4023.462,15.066,14.614,8.060
4024.390,14.824,14.699,8.261
4025.316,12.768,14.411,7.997
4026.242,14.172,14.073,7.597
4027.171,13.942,14.110,7.180
4028.097,15.212,14.527,7.035
4029.026,15.435,15.189,6.976
4029.953,16.555,15.386,6.877
4030.882,14.291,14.515,6.520
4031.809,13.738,12.764,6.179
4032.739,12.638,11.403,5.997
4033.667,10.215,11.007,6.034
4034.595,9.648,10.942,6.126
4035.525,11.178,11.066,6.017
4036.453,15.438,11.826,6.108
4037.384,13.427,13.451,6.554
4038.313,15.922,14.997,7.080
4039.244,18.586,15.997,6.995
4040.173,16.244,16.183,6.899
4041.103,16.693,15.506,7.051
4042.035,15.150,14.611,7.553
4042.965,14.071,14.463,8.171
4043.897,15.195,14.895,8.695
4044.827,14.415,13.996,9.234
4045.760,12.624,11.837,11.490
4046.691,11.766,9.761,16.460
4047.622,9.394,9.133,20.246
4048.555,6.401,10.439,18.095
4049.486,11.904,12.580,12.768
4050.420,15.176,14.033,9.542
4051.352,16.618,15.088,8.587
4052.286,17.284,15.448,8.015
4053.218,16.865,15.199,7.350
4054.151,14.653,14.899,7.254
4055.086,13.875,14.447,7.682
4056.019,16.510,14.021,7.801
4056.954,13.959,13.815,6.991
4057.887,15.262,13.657,6.087
4058.823,14.061,13.246,6.230
4059.757,11.830,12.710,7.032
4060.691,13.449,13.064,7.405
4061.627,14.312,14.273,7.322
4062.561,15.947,14.307,7.202
4063.498,15.025,12.974,7.488
4064.433,12.070,11.056,8.178
4065.370,11.255,9.897,8.716
4066.305,10.510,11.161,8.701
4067.241,11.708,12.363,8.399
4068.179,14.022,12.734,8.234
4069.115,16.631,13.229,8.336
4070.053,14.815,14.245,8.469
4070.989,14.570,14.838,8.379
4071.928,14.372,13.781,7.838
4072.865,11.490,11.542,7.136
4073.802,10.440,11.253,6.757
4074.741,13.972,12.792,6.991
4075.679,15.847,14.249,7.657
4076.618,14.729,14.173,8.350
4077.556,17.889,13.127,9.068
4078.497,12.616,12.278,9.450
4079.435,13.122,12.037,8.988
4080.373,13.428,12.815,8.648
4081.314,14.819,14.329,8.649
4082.253,15.369,15.626,8.653
4083.194,14.991,16.124,8.248
4084.134,16.534,15.775,7.565
4085.076,15.855,14.982,7.287
4086.015,13.680,14.427,7.458
4086.955,16.348,14.544,7.897
4087.898,15.725,15.442,8.017
4088.838,18.324,16.984,7.685
4089.781,17.066,17.808,7.391
4090.722,20.168,17.845,7.512
4091.665,17.225,17.512,7.590
4092.606,17.647,17.052,7.272
4093.548,17.780,16.547,6.993
4094.492,17.171,16.353,7.005
4095.434,16.616,16.883,7.046
4096.378,16.842,16.069,6.713
4097.321,17.613,14.675,6.206
4098.265,14.897,14.032,6.349
4099.208,15.536,14.251,6.247
4100.151,15.141,14.521,5.981
4101.097,15.856,14.495,5.788
4102.040,12.807,13.496,5.533
4102.986,12.516,12.557,5.124
4103.930,14.061,12.731,5.059
4104.876,14.823,13.789,5.344
4105.821,15.434,14.425,5.617
4106.768,15.561,15.124,5.827
4107.712,15.296,15.642,6.152
4108.657,16.111,15.778,6.618
4109.605,14.575,15.617,6.779
4110.550,15.188,15.387,6.277
4111.498,15.916,15.144,5.880
4112.444,14.277,14.919,6.120
4113.392,13.575,14.754,6.447
4114.338,14.434,15.079,6.493
4115.285,15.151,15.690,6.722
4116.234,15.507,15.873,6.964
4117.181,16.481,15.867,6.830
4118.130,16.888,16.124,6.257
4119.078,15.548,15.676,5.849
4120.027,15.464,14.859,5.876
4120.975,14.771,14.445,6.116
4121.923,15.320,14.743,6.185
4122.874,17.014,15.336,6.201
4123.822,15.795,15.022,6.786
4124.773,15.092,15.021,7.429
4125.722,15.051,15.625,7.258
4126.673,17.685,16.091,6.785
4127.623,18.449,15.727,6.722
4128.572,15.345,15.160,6.995
4129.524,15.143,14.741,7.055
4130.474,16.836,14.660,6.669
4131.427,14.837,14.541,6.403
4132.377,13.722,13.922,6.576
4133.330,13.758,12.795,6.827
4134.281,11.903,11.957,6.934
4135.232,12.232,12.094,7.047
4136.186,13.749,13.235,6.981
4137.137,15.179,14.635,6.944
4138.091,15.481,15.402,7.131
4139.043,15.557,15.374,7.338
4139.998,16.503,15.712,7.487
4140.950,17.407,15.860,7.518
4141.903,17.546,15.920,7.018
4142.858,15.190,15.050,6.093
4143.811,13.287,13.023,5.544
4144.766,8.999,11.051,5.806
4145.720,10.073,10.742,6.198
4146.676,13.738,12.260,6.131
4147.630,16.203,13.928,6.032
4148.584,15.195,14.790,6.270
4149.541,15.349,14.829,6.377
4150.495,16.316,14.544,6.144
4151.452,14.359,14.415,6.065
4152.407,14.696,14.459,6.236
4153.365,14.386,14.527,6.358
4154.320,16.061,14.294,6.686
4155.276,15.302,13.861,6.797
4156.234,13.339,13.659,7.048
4157.190,13.941,13.597,7.247
4158.149,13.330,13.910,7.036
4159.106,15.110,14.246,6.846
4160.065,15.639,14.806,6.935
4161.022,16.384,15.434,7.113
4161.979,19.017,15.590,7.374
4162.939,17.903,15.735,7.682
4163.896,15.951,16.519,8.175
4164.857,16.643,16.712,8.620
4165.815,16.880,16.202,8.850
4166.775,16.129,15.521,8.708
4167.734,14.586,14.960,8.382
4168.693,14.568,14.347,7.848
4169.654,15.752,14.218,7.836
4170.613,15.016,14.791,8.217
4171.575,15.085,15.328,8.014
4172.535,15.758,14.903,7.754
4173.497,13.039,13.437,7.728
4174.457,10.772,12.479,7.383
4175.417,14.006,12.793,6.870
4176.380,15.202,13.368,7.005
4177.341,16.316,13.640,7.025
4178.304,16.195,13.723,6.928
4179.265,15.729,13.960,7.101
4180.229,15.620,14.371,7.278
4181.191,15.943,15.016,7.063
4182.155,15.902,14.813,6.860
4183.117,15.540,14.120,6.482
4184.079,15.669,13.779,6.101
4185.044,16.686,14.161,6.200
4186.007,17.129,14.984,6.480
4186.972,14.834,15.106,6.296
4187.935,12.991,14.165,5.889
4188.901,11.993,12.841,5.791
4189.865,12.997,12.624,6.245
4190.829,15.650,14.205,6.663
4191.795,14.502,14.978,6.494
4192.759,15.151,14.441,6.347
4193.726,15.854,14.717,6.385
4194.691,17.438,15.676,6.222
4195.658,18.989,15.903,5.723
4196.624,16.747,14.740,5.477
4197.589,14.922,13.673,5.378
4198.557,14.560,13.281,5.253
4199.523,13.983,12.383,5.174
4200.491,10.883,12.007,5.293
4201.457,12.125,12.489,5.685
4202.426,12.512,12.490,5.809
4203.393,13.125,12.172,5.586
4204.360,14.092,12.650,5.579
4205.330,12.937,13.839,5.993
4206.297,14.204,14.983,6.438
4207.267,16.947,15.627,6.679
4208.235,17.227,15.977,6.824
4209.205,17.644,16.428,6.927
4210.174,15.311,16.441,6.642
4211.142,16.761,15.646,6.205
4212.113,15.227,15.225,6.213
4213.082,15.081,15.704,6.243
4214.054,16.822,16.229,6.104
4215.023,16.455,16.353,5.941
4215.995,14.848,14.999,6.252
4216.965,13.823,13.568,6.479
4217.935,13.425,13.434,6.171
4218.908,13.218,14.499,6.025
4219.878,13.952,15.507,5.713
4220.851,15.811,16.036,5.704
4221.822,16.216,16.202,6.015
4222.796,15.857,16.019,6.110
4223.767,14.798,15.217,5.953
4224.739,15.195,13.832,5.717
4225.713,12.466,12.252,5.291
4226.685,9.720,10.449,4.829
4227.660,6.446,8.361,4.587
4228.633,5.567,7.752,4.600
4229.608,7.100,9.153,5.021
4230.581,10.557,11.611,5.656
4231.554,13.869,13.658,6.078
4232.530,14.406,14.911,6.159
4233.504,15.473,15.226,6.021
4234.480,14.406,14.540,5.926
4235.454,16.798,13.912,5.736
4236.431,13.992,13.727,5.660
4237.405,12.752,13.341,5.575
4238.380,11.353,13.226,5.443
4239.357,15.065,13.910,5.489
4240.333,14.717,14.267,5.567
4241.310,14.200,14.536,5.670
4242.286,16.032,15.210,5.827
4243.264,16.655,15.895,5.798
4244.241,16.489,15.889,5.729
4245.217,16.359,16.164,5.926
4246.196,17.336,16.974,6.646
4247.173,15.156,17.138,7.642
4248.152,16.126,16.093,7.848
4249.129,14.285,14.767,7.258
4250.109,14.586,13.918,6.179
4251.087,13.458,12.748,5.737
4252.065,11.423,12.003,6.156
4253.045,13.026,12.518,6.697
4254.024,14.594,13.657,6.939
4255.005,12.596,13.580,6.723
4255.984,11.645,12.191,6.219
4256.965,13.481,12.125,5.976
4257.944,13.719,14.314,6.436
4258.926,17.551,15.924,6.618
4259.906,16.366,15.249,6.115
4260.886,14.487,13.641,5.681
4261.869,11.912,11.937,5.894
4262.849,11.177,11.976,6.207
4263.832,14.118,13.747,6.086
4264.813,14.656,15.903,6.067
4265.796,17.216,17.258,6.134
4266.778,18.290,17.549,6.181
4267.759,15.416,17.167,6.392
4268.743,14.823,16.291,6.572
4269.725,13.897,15.490,6.287
4270.710,14.722,14.746,5.600
4271.692,15.078,13.333,5.224
4272.677,10.718,10.965,5.211
4273.660,10.342,9.849,5.376
4274.644,10.272,10.591,5.511
4275.629,10.744,10.973,5.689
4276.613,11.251,11.179,6.023
4277.599,12.416,12.406,6.184
4278.583,16.197,14.711,6.144
4279.570,17.292,16.437,6.197
4280.554,15.156,16.246,6.070
4281.539,15.679,15.006,5.813
4282.526,15.093,14.177,5.818
4283.511,14.044,14.160,6.187
4284.499,14.036,14.374,6.309
4285.485,15.673,15.089,5.869
