Wavelength,Flux,BestFit,SkyFlux
3725.632,64.881,69.709,8.360
3726.490,70.866,73.807,8.586
3727.348,71.911,78.736,8.790
3728.207,74.703,82.378,9.102
3729.065,77.850,83.385,9.549
3729.924,76.144,82.430,9.728
3730.783,79.565,81.565,9.660
3731.642,84.858,82.300,10.219
3732.502,83.876,83.608,11.278
3733.361,77.616,82.937,11.737
3734.221,77.284,80.642,11.307
3735.081,72.008,77.043,10.818
3735.941,69.515,72.383,10.722
3736.801,63.871,67.557,11.115
3737.662,56.838,64.563,11.299
3738.523,61.858,65.120,12.084
3739.383,63.310,68.024,13.818
3740.245,68.398,72.063,15.393
3741.106,76.802,76.475,15.174
3741.967,82.441,80.595,14.486
3742.829,83.538,83.671,14.534
3743.691,85.101,85.408,13.589
3744.553,87.336,85.520,11.839
3745.415,81.887,84.260,10.947
3746.278,78.798,82.429,10.573
3747.141,80.775,80.768,10.149
3748.004,78.921,79.195,9.706
3748.867,68.001,77.056,9.085
3749.730,70.649,74.829,8.411
3750.594,70.330,71.777,9.040
3751.457,65.069,67.660,10.043
3752.321,59.400,63.831,10.303
3753.185,56.554,63.070,9.707
3754.050,58.493,66.722,10.065
3754.914,69.460,72.349,10.634
3755.779,73.573,77.773,10.857
3756.644,78.855,82.280,11.050
3757.509,82.907,85.969,10.419
3758.374,85.650,88.537,9.437
3759.240,90.740,88.497,8.764
3760.105,78.670,85.475,9.130
3760.971,84.670,81.703,9.082
3761.837,82.309,79.592,8.275
3762.704,80.188,80.073,7.547
3763.570,86.905,81.910,7.429
3764.437,86.255,83.638,7.715
3765.304,88.004,85.060,7.898
3766.171,87.171,85.784,8.121
3767.038,88.193,85.850,8.110
3767.905,86.341,85.523,7.477
3768.773,84.045,84.566,7.000
3769.641,87.871,82.245,7.004
3770.509,73.395,79.574,7.386
3771.377,76.019,76.723,8.231
3772.246,74.270,73.324,9.499
3773.115,65.955,69.794,10.528
3773.984,63.193,68.378,10.463
3774.853,69.981,71.287,9.730
3775.722,78.128,76.101,9.496
3776.591,81.550,80.151,9.908
3777.461,82.573,82.543,9.837
3778.331,85.278,83.913,10.208
3779.201,89.375,85.373,10.559
3780.071,91.529,87.098,9.762
3780.942,95.239,88.534,9.286
3781.813,97.281,89.947,9.204
3782.683,98.311,91.660,9.232
3783.555,97.153,93.440,9.850
3784.426,95.978,94.477,10.104
3785.297,98.619,94.670,10.448
3786.169,96.210,95.023,10.331
3787.041,92.520,95.308,9.251
3787.913,94.245,94.380,7.927
3788.785,95.298,91.581,7.588
3789.658,93.584,88.256,7.991
3790.531,95.575,87.044,8.928
3791.403,92.780,86.794,9.932
3792.277,92.627,86.362,10.583
3793.150,90.661,85.798,10.696
3794.023,91.547,85.604,9.667
3794.897,94.381,85.443,9.101
3795.771,89.762,83.942,8.911
3796.645,87.952,81.322,8.497
3797.519,79.541,78.526,8.062
3798.394,74.861,75.824,7.211
3799.269,71.492,72.600,7.005
3800.144,63.630,68.292,7.323
3801.019,55.798,64.843,7.986
3801.894,58.645,65.567,8.305
3802.769,68.970,70.071,8.510
3803.645,74.504,76.027,9.284
3804.521,82.097,81.262,9.058
3805.397,91.382,85.246,8.622
3806.274,89.133,88.515,8.182
3807.150,92.761,90.373,8.117
3808.027,95.393,90.691,8.130
3808.904,93.680,89.959,7.880
3809.781,88.789,89.143,8.224
3810.658,86.945,89.464,8.628
3811.536,93.931,91.516,8.356
3812.414,99.670,94.094,8.693
3813.291,95.551,95.970,9.387
3814.170,95.109,96.312,9.910
3815.048,98.927,94.672,9.975
3815.926,97.835,91.247,9.525
3816.805,89.668,87.612,9.051
3817.684,91.188,85.239,9.143
3818.563,89.157,84.694,8.959
3819.443,90.009,86.278,8.947
3820.322,94.658,89.513,8.445
3821.202,97.558,92.095,7.812
3822.082,95.062,90.897,7.734
3822.962,92.378,87.167,8.313
3823.843,91.355,84.819,8.166
3824.723,92.419,85.659,7.514
3825.604,92.827,87.983,7.241
3826.485,92.470,87.889,7.001
3827.366,93.497,84.591,6.725
3828.247,89.548,81.445,7.663
3829.129,84.827,79.767,9.736
3830.011,85.159,79.140,11.752
3830.893,87.828,78.631,12.933
3831.775,88.663,77.867,12.559
3832.657,87.091,77.546,11.771
3833.540,82.248,76.984,11.544
3834.423,77.966,74.680,10.857
3835.306,72.830,70.633,10.411
3836.189,65.941,66.290,10.094
3837.072,58.939,63.041,9.685
3837.956,54.752,60.799,9.224
3838.840,53.673,60.719,8.411
3839.724,55.786,62.506,8.329
3840.608,60.392,64.848,7.876
3841.493,66.000,66.917,8.156
3842.377,71.223,69.469,9.168
3843.262,74.705,72.822,9.707
3844.147,75.574,76.681,9.384
3845.032,85.734,80.793,9.845
3845.918,92.231,84.351,10.431
3846.803,94.437,86.576,10.165
3847.689,95.781,87.716,9.697
3848.575,94.676,88.375,9.255
3849.462,96.326,89.793,8.778
3850.348,97.731,91.975,8.823
3851.235,97.416,93.632,8.771
3852.122,98.917,93.508,8.431
3853.009,98.050,92.263,8.303
3853.896,88.345,92.627,8.044
3854.784,93.033,94.390,7.762
3855.671,99.001,95.797,7.444
3856.559,99.458,95.955,7.340
3857.447,97.575,94.974,7.314
3858.336,95.893,93.295,6.621
3859.224,93.146,91.895,5.697
3860.113,93.720,91.638,5.253
3861.002,91.698,90.883,5.537
3861.891,91.503,88.881,6.379
3862.780,90.206,87.165,7.325
3863.670,89.011,88.492,7.600
3864.560,96.664,92.278,8.032
3865.449,104.165,95.373,7.722
3866.340,94.026,96.776,7.235
3867.230,96.334,96.843,6.959
3868.121,99.985,96.327,6.988
3869.011,95.651,95.899,7.018
3869.902,99.962,96.012,6.380
3870.793,93.932,96.529,5.797
3871.685,103.436,96.887,5.157
3872.576,100.587,96.455,4.854
3873.468,93.757,94.736,5.314
3874.360,94.839,91.616,6.291
3875.252,91.474,87.793,7.226
3876.145,90.705,86.018,7.633
3877.037,93.034,87.329,7.244
3877.930,94.819,90.305,6.685
3878.823,95.495,92.349,6.112
3879.717,93.148,91.671,5.746
3880.610,86.105,88.314,5.532
3881.504,85.357,85.519,5.576
3882.398,84.562,85.875,5.649
3883.292,89.223,88.323,5.605
3884.186,94.274,89.545,5.526
3885.080,94.475,87.756,5.618
