Wavelength,Flux,BestFit,SkyFlux
3800.144,29.142,9.620,0.000
3801.019,29.136,52.550,0.000
3801.894,29.130,51.287,0.000
3802.769,29.125,66.191,0.000
3803.645,29.119,64.533,0.000
3804.521,29.113,64.811,0.000
3805.397,29.107,65.218,0.000
3806.274,29.101,60.362,0.000
3807.150,29.095,55.777,0.000
3808.027,29.090,51.154,0.000
3808.904,29.084,55.828,0.000
3809.781,29.078,64.944,0.000
3810.658,29.072,69.630,0.000
3811.536,29.066,69.516,0.000
3812.414,29.061,67.658,0.000
3813.291,29.055,53.224,0.000
3814.170,29.049,46.379,0.000
3815.048,29.043,42.495,0.000
3815.926,29.038,35.751,0.000
3816.805,29.032,33.313,0.000
3817.684,29.026,44.803,0.000
3818.563,29.020,52.150,0.000
3819.443,29.015,47.922,0.000
3820.322,29.009,34.706,0.000
3821.202,29.003,22.993,0.000
3822.082,28.998,23.568,0.000
3822.962,28.992,37.064,0.000
3823.843,28.986,44.101,0.000
3824.723,28.981,34.601,0.000
3825.604,28.975,22.164,0.000
3826.485,28.970,14.841,4.355
3827.366,28.964,14.076,4.781
3828.247,33.440,19.044,5.506
3829.129,37.488,27.117,6.919
3830.011,41.550,32.796,8.376
3830.893,40.710,35.724,8.332
3831.775,45.431,34.808,7.284
3832.657,41.798,29.214,6.559
3833.540,33.052,22.075,6.697
3834.423,30.600,21.969,7.412
3835.306,32.318,26.327,7.975
3836.189,34.780,34.159,7.625
3837.072,44.889,40.179,5.901
3837.956,42.340,38.089,3.600
3838.840,39.887,27.608,2.624
3839.724,29.058,20.224,3.605
3840.608,30.896,18.176,4.826
3841.493,31.121,22.091,5.399
3842.377,32.843,34.767,5.496
3843.262,38.505,50.695,5.573
3844.147,42.808,59.969,5.721
3845.032,48.774,69.788,5.771
3845.918,58.629,65.404,5.217
3846.803,57.523,65.012,4.952
3847.689,57.899,66.962,4.749
3848.575,52.908,62.993,4.253
3849.462,49.591,54.481,3.631
3850.348,41.093,46.966,3.193
3851.235,39.759,44.274,3.195
3852.122,44.546,50.658,3.468
3853.009,48.825,57.122,3.732
3853.896,50.111,56.660,3.616
3854.784,43.441,51.749,3.190
3855.671,39.908,43.557,2.847
3856.559,38.263,37.847,2.765
3857.447,40.026,35.020,3.270
3858.336,32.425,33.240,3.637
3859.224,30.524,28.658,3.388
3860.113,25.788,19.708,2.476
3861.002,26.588,16.979,1.806
3861.891,31.727,27.156,2.142
3862.780,36.584,43.969,3.472
3863.670,47.376,58.542,4.775
3864.560,48.488,63.185,4.621
3865.449,45.276,56.747,3.237
3866.340,55.279,52.679,1.888
3867.230,48.813,53.517,1.541
3868.121,50.100,55.134,1.988
3869.011,52.706,54.620,2.485
3869.902,50.098,51.650,2.283
3870.793,44.843,46.408,1.406
3871.685,40.863,37.242,0.365
3872.576,41.207,32.159,-0.176
3873.468,42.716,31.841,-0.057
3874.360,45.580,43.670,0.788
3875.252,61.198,63.821,2.086
3876.145,69.907,74.169,3.225
3877.037,70.422,72.497,3.702
3877.930,57.108,56.171,3.498
3878.823,43.520,39.032,2.904
3879.717,39.404,36.063,2.421
3880.610,43.054,46.687,2.146
3881.504,48.664,53.515,1.779
3882.398,50.244,47.117,1.355
3883.292,49.484,45.038,0.945
3884.186,52.405,58.044,1.039
3885.080,66.018,68.844,1.504
3885.975,63.422,60.494,2.004
3886.870,50.377,40.698,2.232
3887.765,40.727,36.380,2.068
3888.660,42.790,42.057,1.739
3889.556,49.095,52.496,1.501
3890.451,56.892,67.788,1.247
3891.347,77.560,84.550,1.137
3892.243,90.326,95.909,1.517
3893.140,98.193,105.137,2.746
3894.036,91.639,102.682,4.281
3894.933,78.783,89.647,4.970
3895.830,70.481,80.505,4.313
3896.727,69.045,82.311,3.330
3897.625,71.903,87.343,2.945
3898.522,74.630,90.981,3.062
3899.420,71.796,81.040,2.946
3900.318,67.136,69.101,2.981
3901.216,71.766,70.883,4.431
3902.114,69.497,82.288,4.437
3903.013,67.340,81.906,4.966
3903.912,66.662,72.922,5.076
3904.811,69.876,69.660,3.034
3905.710,70.032,65.815,2.373
3906.609,63.995,61.140,3.856
3907.509,66.859,64.574,6.094
3908.409,77.406,82.455,7.271
3909.309,84.513,99.098,7.049
3910.209,98.420,103.069,7.186
3911.110,105.929,105.508,7.956
3912.010,100.449,108.381,8.700
3912.911,106.786,109.456,8.051
3913.812,108.607,111.142,6.500
3914.714,113.798,114.769,5.864
3915.615,113.346,106.969,6.107
3916.517,107.183,102.513,6.369
3917.419,99.292,99.512,6.154
3918.321,92.219,93.696,5.723
3919.223,90.382,88.619,5.611
3920.126,83.148,74.876,5.037
3921.029,59.155,61.189,3.774
3921.931,58.169,53.259,3.185
3922.835,58.368,52.822,3.477
3923.738,57.005,58.080,4.186
3924.642,66.855,64.845,4.871
3925.545,72.150,69.903,5.399
3926.449,68.659,67.688,5.448
3927.354,64.795,58.965,4.692
3928.258,56.889,45.173,3.534
3929.163,50.739,30.937,2.835
3930.067,47.889,23.120,3.011
3930.972,40.758,19.246,3.552
3931.878,33.699,12.963,3.423
3932.783,33.131,7.688,2.937
3933.689,29.401,3.368,2.340
3934.595,27.562,0.332,1.883
3935.501,25.853,2.027,1.905
3936.407,26.754,7.110,2.462
3937.314,35.128,15.738,3.011
3938.220,41.213,24.751,3.325
3939.127,54.892,35.525,3.740
3940.034,67.616,47.664,4.673
3940.942,68.548,55.757,5.195
3941.849,66.208,58.650,5.166
3942.757,65.611,57.514,4.878
3943.665,56.405,53.563,5.267
3944.573,48.651,45.884,5.967
3945.481,51.845,44.760,6.260
3946.390,63.703,64.895,6.125
3947.299,77.296,82.881,6.087
3948.208,78.681,85.592,6.834
3949.117,76.739,83.427,6.354
3950.026,83.855,89.303,5.035
3950.936,95.811,103.008,5.002
3951.846,106.293,110.920,5.895
3952.756,104.741,107.996,5.932
3953.666,99.983,98.919,4.985
3954.577,103.191,101.921,4.289
3955.487,109.052,110.665,4.615
3956.398,104.580,109.166,5.146
3957.309,89.377,95.206,5.132
3958.221,79.183,87.165,5.272
3959.132,84.617,91.572,5.538
3960.044,73.604,95.175,4.943
3960.956,70.984,83.692,3.507
3961.868,54.933,58.526,2.655
3962.780,41.109,39.130,2.799
3963.693,41.605,37.986,3.227
3964.606,48.149,42.902,3.173
3965.519,55.284,43.681,2.663
3966.432,56.294,36.263,2.072
3967.345,41.224,23.127,2.050
3968.259,37.022,11.159,2.603
3969.173,28.226,3.900,2.987
3970.087,27.002,3.565,3.132
3971.001,32.531,10.212,3.082
3971.915,44.896,21.035,3.186
3972.830,58.089,32.588,3.733
3973.745,64.333,43.335,4.618
3974.660,77.080,55.287,5.356
3975.575,94.776,69.560,5.359
3976.491,96.084,80.783,4.852
3977.407,105.752,89.789,5.068
3978.323,108.532,99.417,6.099
3979.239,121.628,109.042,6.384
3980.155,132.316,118.173,5.933
3981.072,139.821,133.081,5.158
3981.988,138.859,135.447,4.478
3982.905,137.909,128.298,4.753
