waveLength,energyDensity
231.2254,
231.4689,
231.548,
231.639,
,
231.7321,
231.9477,
232.0951,
233.1398,
236.1237,
,
237.2215,
237.2831,
237.5414,
237.8891,
238.2292,
,
238.3918,
238.5273,
238.6288,
239.0432,200bl
239.1996,
,
,80
239.6989,
240.1993,
242.052,
242.114,
,
,80
242.59,
242.631,
242.657,
242.692,
,
242.936,
242.961,
242.969,
243.4918,
243.8814,80bl
,
244.104,
244.1351,
244.1704,
244.523,
244.693,
,
244.8172,
245.113,
245.185,
245.345,
245.3529,
,
245.424,
245.4966,200
245.656,
249.6031,
252.9327,
,
253.4064,
253.9467,
254.2636,
254.6409,
254.7422,
,
254.9595,
254.9672,
255.8035,200
256.6488,
259.7699,
,
260.5424,
260.959,
262.2287,
266.5684,
267.458,
,
267.7813,
268.3658,
268.6154,
268.7547,80
269.2734,
,
269.5477,110
270.054,
270.1035,
270.8889,
271.3393,
,
272.689,
273.506,
273.909,
277.196,
279.4139,
,
279.8931,
280.79,
280.9659,
281.8697,
283.6308,
,
284.575,
284.893,
285.375,
286.252,
286.26,
,
287.957,
295.9695,80
298.3781,250
299.2081,
299.648,
,
299.7689,
300.4344,
300.8779,
301.7615,80
302.3139,
,
302.3425,80
302.4359,
302.454,
302.633,
302.986,
,
303.2615,
303.4219,
303.5414,
303.6159,
304.2636,
,
304.2993,
,80
304.5434,
304.71,200
305.1951,
,
305.9277,110
306.385,
306.4975,
306.8129,
306.8256,
,
306.8667,
307.4138,
307.4715,
307.5129,
307.5954,
,
307.813,
308.3647,
308.4644,
308.8041,
309.5795,
,
311.5674,
312.1633,80
313.2794,110
319.8181,
320.1139,
,
320.2514,
320.7609,
321.0585,
321.6074,
322.1213,
,
323.641,
,80
325.7087,
326.0857,200
326.5329,300
,
326.5693,
326.7204,80
326.7729,
326.8949,
328.1831,
,
328.445,
328.6414,
328.7647,
329.9385,
330.5729,
,
331.2329,80
332.6055,
333.0301,
333.0319,
333.2406,
,
333.2928,
333.6668,
333.6686,
334.0765,110
334.4197,
,
334.451,
334.798,
335.0617,
335.0921,
335.5858,
,
336.2312,
337.6612,
337.6765,
337.7264,
338.2612,
,
338.3311,
338.3812,
338.4901,
339.422,
339.5428,
,
340.5718,
340.8131,
341.5262,
342.3364,
342.7364,
,
342.8626,
343.0568,
343.5123,
344.0363,
344.4052,80
,
344.6682,
344.7155,
344.7924,
344.7968,
345.0907,
,
345.1305,
345.4835,
345.4986,80
345.5776,
345.948,
,
345.9935,
346.6128,
346.685,
347.5236,
352.0945,
,
353.1223,
353.3385,
353.4904,
355.5241,
355.6779,
,
365.3767,
367.129,
368.2383,
369.5162,
369.5375,
,
369.8718,80
370.2743,
,80
370.3355,80
370.4749,
,
370.7272,110
370.9543,
371.2493,
371.4028,
371.5086,110
,
372.089,
372.1954,
372.5313,
372.8506,
372.8838,
,
372.9802,
373.2135,
373.483,
374.2632,
,110
,
374.6899,
375.4696,150
375.7232,80
375.9875,250
376.1166,
,
377.4026,
379.1275,110
381.0985,
381.6751,
385.3474,
,
386.1497,
387.5251,
387.7889,
388.676,
389.1759,
,
390.3044,
391.1803,
393.1351,
393.4823,
394.4854,
,
394.8012,
396.1573,200
407.2643,
407.3984,
408.102,
,
408.426,
408.9295,
410.3066,
411.8598,
412.1591,
,
417.1768,
418.6975,
421.8303,
423.9483,
428.6177,
,
433.3579,
434.2813,
435.6794,
436.3209,
436.6501,
,
437.5876,
438.5649,
444.0093,
444.7694,
446.1607,
,
449.337,
450.664,
451.3827,
451.9622,
452.4222,
,
452.7293,
453.2785,
453.5285,
453.8851,
454.0395,
,
455.5387,
455.7913,
456.926,
458.7721,
461.0608,
,
463.0773,
464.9973,
466.8875,
467.3487,
469.6225,
,
470.8146,
472.28,
473.2536,
473.788,
473.788,
,
474.7342,
474.866,
474.866,
474.866,
476.175,
,
476.463,
476.463,
477.8429,
479.9754,
480.9781,
,
482.619,
484.0172,
486.7057,
488.1614,
489.0859,
,
493.1227,
495.8911,
495.8911,
500.6843,
500.6843,
,
504.987,
506.0732,
506.3657,
506.8555,
508.8922,
,
509.188,
511.218,
511.775,
512.474,
513.632,
,
514.899,
515.247,
517.129,
526.8301,
550.8242,
,
559.2252,110
594.637,
597.145,
597.967,
598.823,
,
598.858,
600.954,
602.232,
603.516,
607.759,
,
610.235,
611.698,
619.957,
633.048,
635.891,
,
636.383,
637.834,
638.33,
639.036,
650.755,
,
670.736,
670.949,
673.113,
673.616,
673.929,
,
674.194,
674.194,
674.194,
676.112,
676.836,
,
679.206,
679.206,
681.702,
701.632,
702.573,
,
703.137,
707.912,
708.484,
719.025,
730.685,
,
730.712,
736.535,
741.009,
741.404,
744.907,
,
745.536,
745.541,
747.576,
748.214,
749.284,
,
751.599,
755.142,
760.888,
771.095,
780.756,
,
782.068,
783.237,
783.423,
783.938,
784.794,
,
787.354,
791.461,
796.332,
800.394,
817.215,
,
835.886,
836.821,
838.036,
838.891,
845.642,
,
846.513,
861.605,
891.212,
899.93,
907.659,
,
911.614,
911.94,
912.138,
913.329,
916.461,
,
917.421,
922.134,
922.521,
922.647,
924.508,
,
924.812,
926.545,
926.553,
929.14,
931.111,
,
933.006,
937.53,
938.806,
944.656,
947.571,
,
953.822,
955.401,
956.512,
962.317,
968.85,
,
970.645,
971.722,
980.948,
981.369,
982.047,
,
1 011.874,
1 025.134,
1 025.278,
1 032.177,
1 036.687,
,
1 054.702,
1 066.780,
1 123.544,
1 126.489,
1 132.159,
,
1 134.914,
1 140.389,
1 149.024,
1 219.271,
1 222.896,
,
1 235.961,
1 236.797,
1 239.162,
1 247.033,
1 249.733,
,
1 250.828,
1 251.636,
1 253.437,
1 266.864,
1 268.819,
,
