Wavelength,Flux,BestFit,SkyFlux
3966.432,40.492,38.502,1.910
3967.345,28.963,32.982,2.009
3968.259,20.738,25.393,2.509
3969.173,14.772,20.265,2.965
3970.087,12.910,18.836,3.066
3971.001,14.809,20.982,2.994
3971.915,23.256,25.953,3.169
3972.830,29.943,32.267,3.684
3973.745,38.212,37.944,4.587
3974.660,47.510,42.719,5.275
3975.575,51.291,47.452,5.301
3976.491,56.325,51.384,4.857
3977.407,60.044,54.112,5.256
3978.323,61.074,56.523,6.269
3979.239,62.772,59.406,6.481
3980.155,68.972,61.869,5.719
3981.072,66.370,64.114,4.803
3981.988,63.266,65.244,4.258
3982.905,68.740,64.610,4.661
3983.823,65.352,63.048,5.707
3984.740,59.629,62.699,6.447
3985.658,65.769,64.048,5.672
3986.576,63.064,63.958,4.443
3987.494,64.993,63.278,4.512
3988.412,63.796,63.981,5.420
3989.330,64.738,65.953,5.680
3990.249,65.561,66.582,5.483
3991.168,65.668,66.269,5.466
3992.087,64.666,66.380,5.140
3993.006,64.637,67.113,4.799
3993.926,67.487,68.185,5.011
3994.846,69.904,68.776,5.668
3995.766,68.291,67.247,5.772
3996.686,64.737,66.479,5.122
3997.606,57.660,64.285,5.244
3998.527,59.429,62.426,6.346
3999.447,58.590,62.852,6.003
4000.369,67.228,65.011,4.962
4001.290,69.925,67.317,4.165
4002.211,69.887,67.176,3.953
4003.133,69.313,67.951,4.688
4004.055,69.311,69.208,5.709
4004.977,68.638,68.306,5.332
4005.899,64.348,64.109,4.036
4006.822,61.748,59.961,4.024
4007.744,61.733,60.766,5.318
4008.667,61.523,64.626,5.079
4009.590,65.626,67.705,5.310
4010.514,71.948,68.649,6.375
4011.437,72.041,68.739,6.593
4012.361,69.682,68.565,6.923
4013.285,68.469,69.344,7.477
4014.209,66.709,68.942,7.390
4015.134,66.767,68.758,6.734
4016.058,69.083,69.412,6.036
4016.983,67.529,69.047,5.804
4017.908,69.985,67.531,5.686
4018.833,63.803,66.726,6.820
4019.759,68.372,67.634,8.372
4020.685,69.933,69.096,8.613
4021.610,72.226,69.694,7.425
4022.537,72.093,69.259,5.972
4023.463,69.524,69.040,6.174
4024.389,66.100,68.893,7.518
4025.316,63.459,67.933,8.325
4026.243,64.849,67.465,7.699
4027.170,66.020,68.388,8.139
4028.098,64.309,70.056,7.959
4029.025,68.582,71.669,6.460
4029.953,67.780,70.539,6.325
4030.881,66.302,67.789,5.673
4031.809,65.240,64.642,5.438
4032.738,62.426,62.434,5.457
4033.667,61.938,62.152,5.676
4034.596,63.125,62.420,5.810
4035.525,63.984,63.098,5.703
4036.454,67.318,65.297,5.920
4037.383,67.392,68.246,6.879
4038.313,63.322,71.083,6.862
4039.243,71.129,73.183,6.572
4040.173,74.734,72.487,6.827
4041.104,73.769,70.277,5.807
4042.034,67.842,69.716,5.688
4042.965,66.779,70.195,7.088
4043.896,67.980,70.209,8.581
4044.827,67.966,68.351,8.828
4045.759,65.393,61.811,9.514
4046.691,56.961,55.687,14.556
4047.622,53.224,56.736,20.470
4048.555,63.629,62.539,17.772
4049.487,66.654,67.684,12.719
4050.419,67.427,69.714,9.003
4051.352,70.661,70.428,7.288
4052.285,69.055,71.232,7.351
4053.218,63.428,70.060,7.174
4054.152,63.556,68.243,7.476
4055.085,65.909,67.186,7.962
4056.019,65.778,66.542,7.586
4056.953,66.492,66.737,6.383
4057.887,63.664,66.525,5.960
4058.822,63.539,65.474,6.553
4059.757,64.557,65.077,6.298
4060.692,70.456,66.321,6.374
4061.627,70.677,68.186,7.574
4062.562,68.838,68.303,7.982
4063.498,68.544,64.802,7.404
4064.433,62.592,59.973,7.403
4065.369,61.729,58.856,8.270
4066.305,68.971,61.974,8.549
4067.242,72.322,64.388,7.749
4068.178,72.054,64.467,7.580
4069.115,68.834,65.461,8.286
4070.052,74.308,67.966,8.155
4070.990,71.972,68.707,7.049
4071.927,68.533,65.931,6.064
4072.865,68.985,62.451,6.070
4073.803,66.807,63.069,6.302
4074.741,66.562,67.079,6.993
4075.679,69.880,68.725,8.099
4076.618,69.922,66.877,8.875
4077.557,66.988,63.750,9.613
4078.496,67.472,61.858,9.080
4079.435,63.726,61.970,7.812
4080.374,63.595,64.021,7.199
4081.314,67.465,66.700,6.521
4082.254,72.423,69.131,6.362
4083.194,69.796,70.334,6.651
4084.134,70.254,69.267,7.046
4085.075,67.922,66.710,6.893
4086.015,65.236,65.547,6.490
4086.956,66.167,66.837,6.895
4087.898,67.405,69.460,7.719
4088.839,67.927,71.439,8.218
4089.781,69.613,72.059,7.825
4090.722,69.615,73.573,7.012
4091.664,70.049,72.632,6.439
4092.607,71.190,70.526,6.488
4093.549,65.932,69.618,7.344
4094.492,64.735,70.242,6.984
4095.435,69.489,70.250,5.611
4096.378,66.211,67.987,5.185
4097.321,63.012,66.108,5.451
4098.265,65.095,65.028,5.377
4099.208,63.024,63.971,5.440
4100.152,61.058,61.830,5.481
4101.097,57.176,57.565,4.968
4102.041,49.074,51.255,4.379
4102.986,39.750,46.949,3.448
4103.931,45.403,47.517,3.265
4104.876,52.417,53.080,4.769
4105.821,54.512,59.977,5.652
4106.766,59.637,63.429,5.239
4107.712,62.670,65.107,5.071
4108.658,63.202,66.484,5.815
4109.604,64.318,67.018,6.519
4110.551,64.847,67.441,6.609
4111.497,70.465,67.921,5.686
4112.444,66.212,67.806,5.119
4113.391,59.172,68.751,5.573
4114.338,63.150,69.934,6.488
4115.286,67.932,70.793,6.674
4116.233,70.577,71.510,6.563
4117.181,73.077,72.562,6.384
4118.130,74.228,73.145,6.109
4119.078,68.738,69.932,5.665
4120.026,65.207,67.194,5.211
4120.975,67.194,67.222,4.588
4121.924,63.451,68.418,4.415
4122.873,65.092,68.394,5.438
4123.823,66.622,67.342,6.951
4124.772,68.413,69.017,6.817
4125.722,73.568,69.703,6.153
4126.672,70.374,69.339,5.953
4127.623,67.185,68.531,6.376
4128.573,66.499,67.654,6.533
4129.524,66.166,67.278,5.893
4130.475,66.370,68.249,5.622
4131.426,69.673,68.225,6.293
4132.378,72.221,67.047,5.610
4133.329,68.065,65.060,4.125
4134.281,68.418,63.457,6.156
4135.233,63.130,63.836,7.380
4136.185,69.245,65.533,5.666
4137.138,66.214,68.054,5.573
4138.091,68.264,69.935,7.030
4139.044,71.075,70.940,7.195
4139.997,75.640,71.647,7.066
4140.950,72.943,72.330,7.053
4141.904,66.208,72.099,6.520
4142.858,67.192,70.670,5.179
4143.812,69.641,66.549,4.079
4144.766,66.586,62.900,3.881
4145.720,65.999,63.601,4.833
4146.675,66.004,68.136,6.807
4147.630,71.184,70.214,7.975
4148.585,68.402,70.042,6.937
4149.540,67.666,69.869,5.168
4150.496,69.294,69.665,4.769
4151.452,68.584,69.283,5.753
4152.408,67.922,69.565,6.259
4153.364,68.644,69.660,5.805
4154.321,67.436,68.844,5.630
4155.277,65.201,67.099,6.754
4156.234,65.575,65.957,7.853
4157.191,64.459,66.591,6.681
4158.149,61.104,68.033,5.455
4159.106,68.519,67.716,6.754
4160.064,66.211,68.190,7.247
4161.022,69.179,70.048,6.517
4161.980,66.235,70.889,6.224
4162.939,65.404,70.571,6.273
4163.897,69.521,71.718,6.378
4164.856,71.872,71.893,7.038
4165.815,70.105,71.721,8.389
4166.775,65.948,71.492,9.026
4167.734,67.693,70.589,7.661
4168.694,73.781,69.268,6.751
